Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),month,year,day,hour
Foggy,1,-0.579700968,0.543960868,-1.044281504,1.272337745,-1.552765561,0.296671048,1.374236723,-0.584552069,-1.107909648,-1.150441177
Foggy,1,-0.508466037,0.893610647,-1.316307598,0.094317075,-1.552765561,0.285366563,1.374236723,-0.584552069,-1.107909648,-0.89418449
Foggy,1,-0.472848571,1.243260426,-1.044281504,0.638018922,-1.384945292,0.327193157,1.374236723,-0.584552069,-1.107909648,-0.637927804
Overcast,1,0.061413411,-0.592400914,-1.588333692,-1.627405443,-0.032883883,0.330584503,1.374236723,-0.584552069,-1.107909648,0.002713913
Overcast,1,0.067824555,-1.029463137,-1.367992556,0.257427629,0.340753696,0.293279702,1.374236723,-0.584552069,-1.107909648,0.130842257
Overcast,1,0.061413411,-0.592400914,-1.588333692,-1.627405443,0.347086536,0.285366563,1.374236723,-0.584552069,-1.107909648,0.387098943
Overcast,1,-0.365996175,0.543960868,-1.588333692,-1.627405443,-0.634503714,0.285366563,1.374236723,-0.584552069,-1.107909648,0.771483974
Overcast,1,-0.365996175,0.543960868,-1.044281504,-0.268150824,-0.824488924,0.262757592,1.374236723,-0.584552069,-1.107909648,1.02774066
Overcast,1,-0.421559421,0.543960868,0.090067308,-0.485631563,-0.824488924,0.242409519,1.374236723,-0.584552069,-1.107909648,1.283997347
Overcast,1,-0.508466037,0.543960868,-1.044281504,-0.630618723,-0.824488924,0.240148622,1.374236723,-0.584552069,-1.107909648,1.412125691
Foggy,1,-0.363859127,0.893610647,-0.459425402,-0.485631563,-1.467272217,0.135016911,1.374236723,-0.584552069,-0.993679763,-1.406697864
Overcast,1,-0.508466037,0.893610647,-1.588333692,-1.627405443,-0.919481529,0.183626197,1.374236723,-0.584552069,-0.993679763,-1.278569521
Foggy,1,-0.695813905,0.893610647,-1.044281504,0.0037001,-1.324783309,0.213017858,1.374236723,-0.584552069,-0.993679763,-1.022312834
Foggy,1,-0.844694911,0.631373313,-1.022519417,-1.554911864,-1.574930502,0.296671048,1.374236723,-0.584552069,-0.993679763,-0.637927804
Foggy,0,-0.864640692,0.543960868,-1.044281504,-0.993086621,-1.616093964,0.285366563,1.374236723,-0.584552069,-0.993679763,-0.50979946
Foggy,1,-0.72217083,1.243260426,-1.316307598,0.909869846,-1.584429762,0.296671048,1.374236723,-0.584552069,-0.993679763,-0.381671117
Foggy,1,-0.555481091,1.155847981,-0.938191328,0.465846671,-1.53693346,0.326062709,1.374236723,-0.584552069,-0.993679763,-0.253542773
Foggy,1,-0.365996175,0.543960868,-1.044281504,-0.268150824,-1.33111615,0.296671048,1.374236723,-0.584552069,-0.993679763,-0.12541443
